SINAPI - Sistema Nacional de Pesquisa de Custos e Índices da Construção Civil,,,,,
RELATÓRIO DE PREÇOS DE INSUMOS - ENGARGOS SOCIAIS SEM DESONERAÇÃO,,,,,
Classificação,"Código do
Insumo",Descrição do Insumo,Unidade,"Origem de
Preço",MG
MATERIAL,20193,"LOCACAO DE ANDAIME METALICO TIPO FACHADEIRO, PECAS COM APROXIMADAMENTE 1,20 M DE LARGURA E 2,0 M DE ALTURA, INCLUINDO DIAGONAIS EM X, BARRAS DE LIGACAO, SAPATAS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",M2XMES,CR,"16,50"
ESPECIAIS,44480,"TARIFA ""A"" ENTRE 0 E 20M3 FORNECIMENTO D'AGUA",M3,CR,"20,81"
MATERIAL,38200,"CORDA DE POLIAMIDA 12 MM TIPO BOMBEIRO, PARA TRABALHO EM ALTURA",100M,CR,"397,12"
MATERIAL,142,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,310ML,CR,"30,88"
MATERIAL,37394,"FINCAPINO CURTO CALIBRE 22, CARGA MEDIA POTENCIA 5 (PARA FERRAMENTA DE ACAO DIRETA) COR VERMELHA",CENTO,CR,"93,28"
MATERIAL,14146,"FINCAPINO LONGO CALIBRE 22, CARGA FORTE POTENCIA 7 (PARA FERRAMENTA DE ACAO DIRETA), COR AMARELA",CENTO,C,"150,00"
MATERIAL,40547,"PARAFUSO ZINCADO, AUTOBROCANTE, FLANGEADO, 4,2 MM X 19 MM",CENTO,CR,"32,19"
MATERIAL,40839,"PARAFUSO, ASTM A307 - GRAU A, SEXTAVADO, ZINCADO, DIAMETRO 3/8"" (9,52 MM), COMPRIMENTO 1"" (25,4 MM)",CENTO,CR,"133,38"
MATERIAL,40552,"PARAFUSO, AUTOATARRAXANTE, CABECA CHATA, FENDA SIMPLES, EM ACO ZINCADO, 1/4"" (6,35 MM) X 25 MM",CENTO,CR,"55,19"
MATERIAL,40549,"PARAFUSO, COMUM, ASTM A307, SEXTAVADO, DIAMETRO 1/2"" (12,7 MM), COMPRIMENTO 1"" (25,4 MM)",CENTO,CR,"218,47"
